lang,gl,var1
pnar1238,ABL,ABL-
pnar1238,ALL,ALL-
pnar1238,as,as-
pnar1238,BEN,BEN-
pnar1238,LOC,LOC-
pnar1238,NMZ,NMZ-
pnar1238,PL=,PL.nmz=
pnar1238,REF,ref
