lang,gl,var1,var2,var3,var4,var5,var6,var7
nisv1234,par_terre,au_sol,sol,,,,,
nisv1234,pêcher,pêcher_des_crevettes,pêcher_crevette,pêcher_des_écrevisse,,,,
nisv1234,perdre,se_perdre,se_tromper_de_chemin,être_perdu,,,,
nisv1234,père,papa,,,,,,
nisv1234,personne,homme,humain,gens,mari,,,
nisv1234,plante_médicinale,remède,,,,,,
nisv1234,porter_sur_l_épaule,porter_sur_épaule,porter_à_l_épaule,,,,,
nisv1234,pousser,pousse,,,,,,
nisv1234,PRE,PREP,,,,,,
nisv1234,PRE.LOC,PRE.LOC.DOM,chez,,,,,
nisv1234,PRE.TMP,PRETMP,,,,,,
nisv1234,prendre,prend,,,,,,
nisv1234,proche,près,presque,PRE.LOC.P,,,,
nisv1234,quelque,quelques,peu,,,,,
nisv1234,râper,gratter,,,,,,
nisv1234,RED~,RED,,,,,,
nisv1234,regarder,regarder=,,,,,,
nisv1234,rentrer,revenir,,,,,,
nisv1234,rester,attendre,se_tenir,,,,,
nisv1234,rivière,eau,,,,,,
nisv1234,sauter,saute,,,,,,
nisv1234,sauver,aider,,,,,,
nisv1234,se_lever,se_lever_d'un_coup,,,,,,
nisv1234,sortir_de_la_rivière,sort_de_la_rivière,,,,,,
nisv1234,suivre,suivre_derrière,,,,,,
nisv1234,TAXON,ARBRE,,,,,,
nisv1234,tomber,tromber,,,,,,
nisv1234,tout,tous,,,,,,
nisv1234,travailler,travailer,,,,,,
nisv1234,un,une,être_un,être_une,,,,
nisv1234,une_fois,une_fois_que,,,,,,
nisv1234,venir,arriver,ramener,,,,,
nisv1234,visiter,vérifier,,,,,,
nisv1234,voler,s'envole,s'envoler,envoler,Voler,,,
