lang,gl,var1,var2,var3,var4,var5,var6,var7
movi1243,non_Indian,stranger,,,,,,
movi1243,not_deep,not.deep,,,,,,
movi1243,not_want,not.want,,,,,,
movi1243,OBL-,OBL,obl-,,,,,
movi1243,older_sibling,older.sibling,,,,,,
movi1243,on_top,on.top,,,,,,
movi1243,other_people,other.people,,,,,,
movi1243,over_there,over.there,,,,,,
movi1243,PRO.1PL,PRO.1pl,,,,,,
movi1243,PRO.1SG,PRO.1sg,,,,,,
movi1243,PRO.2SG,PRO.2sg,,,,,,
movi1243,PRO.3F,PRO.3f,,,,,,
movi1243,PRO.3PL,PRO.3pl,PRO.pl,PRO.3PL.AB,PRO.3PL.ABSN,,,
movi1243,PRO.M.AB,PRO.m.a,,,,,,
movi1243,PRO.N,PRO.n,PRO.N.AB,PRO.N.ABSN,PRO.n.a,,,
movi1243,REAS,CSL,,,,,,
movi1243,scream,scream;bark,shout,,,,,
movi1243,small_piece,a_little,a_little;small_piece,a_little\small_piece,,,,
movi1243,smell/feel,smell;feel,,,,,,
movi1243,sound_weakly,sound.weakly,,,,,,
movi1243,speak_about,tell_about,,,,,,
movi1243,speak_truth,say_the_truth,,,,,,
movi1243,stay_behind,leave_behind,,,,,,
movi1243,sugar_mill,sugar.cane.crusher,,,,,,
movi1243,take_out,take.out,,,,,,
movi1243,that_moment,that.moment,,,,,,
movi1243,that's_why,that's.why,,,,,,
movi1243,tie,be.tied.up,,,,,,
movi1243,trader,traders,,,,,,
movi1243,village;yard;square,village,yard,,,,,
movi1243,want,want;like,,,,,,
movi1243,weapon,shoot:INS,,,,,,
movi1243,without-,without,,,,,,
movi1243,year,-year,,,,,,
