lang,gl,var1,var2,var3,var4,var5,var6
hoch1243,have.NTL,have.NTL(OBJ.3SG),have.NTL(OBJ.3SG)\1E.A,have.NTL(SBJ.3SG&OBJ.3SG),have.NTL(SBJ.3SG),have.NTL\1E.A,
hoch1243,hear,hear(OBJ.3SG),hear(SBJ.3SG&OBJ.3SG),hear(SBJ.3SG),understand,,
hoch1243,help,help(OBJ.3SG),,,,,
hoch1243,high,high(OBJ.3SG),high(SBJ.3SG),,,,
hoch1243,hold,hold(OBJ.3SG),hold(SBJ.3SG&OBJ.3SG),hold\1E.A,,,
hoch1243,jump.in,jump.in(SBJ.3SG,,,,,
hoch1243,kick,kick(OBJ.3SG),kick(SBJ.3SG&OBJ.3SG),,,,
hoch1243,know,know(OBJ.3SG),know(SBJ.3PL),know(SBJ.3SG&OBJ.3SG),know(SBJ.3SG),,
hoch1243,last,last.one,,,,,
hoch1243,let/cause,let/cause(OBJ.3SG&SBJ.3SG),let/cause(OBJ.3SG),let/cause(SBJ.3SG&OBJ.3SG),let/cause(SBJ.3SG),,
hoch1243,lift,lift(SBJ.3SG),lift(SBJ.3SG&OBJ.3SG),,,,
hoch1243,lift.up.head,lift.up.head(SBJ.3SG),,,,,
hoch1243,lift\1E.A,lift(OBJ.3SG)\1E.A,,,,,
hoch1243,like,like(OBJ.3SG),like(SBJ.3SG&OBJ.3SG),like(SBJ.3SG),,,
hoch1243,live,live(OBJ.3SG),live(SBJ.3SG),,,,
hoch1243,look.at,look.at(OBJ.3SG),look.at(SBJ.3SG),look.at(SBJ.3SG&OBJ.3SG),,,
hoch1243,lose,lose(OBJ.3SG),,,,,
hoch1243,make.own,make.own(OBJ.3SG),make.own(SBJ.3SG&OBJ.3SG),,,,
hoch1243,make/CAUS,make/CAUS(OBJ.3SG),make/CAUS(SBJ.3SG&OBJ.3SG),make/CAUS(SBJ.3SG),,,
hoch1243,mean,mean(OBJ.3SG),,,,,
hoch1243,name,name(SBJ.3SG&OBJ.3SG),name(SBJ.3SG),,,,
hoch1243,OBJ.3PL-,-OBJ.3PL-,,,,,
hoch1243,on.top,surface,,,,,
hoch1243,pick,pick(OBJ.3SG),pick(SBJ.3SG),,,,
hoch1243,place,place(OBJ.3SG),place(SBJ.3SG&OBJ.3SG),,,,
hoch1243,POSS.RFL-,-POSS.RFL-,,,,,
hoch1243,put.down,put.down(SBJ.3SG&OBJ.3SG),,,,,
hoch1243,put.into,put.into(OBJ.3SG),put.into(SBJ.3SG&OBJ.3SG),,,,
hoch1243,put.upright,put.upright(OBJ.3SG),,,,,
hoch1243,quarrel,quarrel(SBJ.3SG),,,,,
hoch1243,recognize,recognize(OBJ.3SG),,,,,
hoch1243,RFL-,-RFL-,RCP-,-RCP-,,,
hoch1243,say,say(SBJ.3SG),say(SBJ.SG),,,,
hoch1243,say.to,say.to(OBJ.3SG),say.to(SBJ.3SG&OBJ.3SG),say.to(SBJ.3SG),,,
hoch1243,scold,scold(OBJ.3SG),scold(SBJ.3SG),scold(SBJ.3SG&OBJ.3SG),,,
hoch1243,see,see(OBJ.3SG),see(SBJ.3SG&OBJ.3SG),see(SBJ.3SG),,,
hoch1243,seek,seek(OBJ.3SG),seek(SBJ.3SG&OBJ.3SG),,,,
hoch1243,sell,sell(SBJ.3SG&OBJ.3SG),,,,,
hoch1243,show(OBJ.3SG),show(SBJ.3SG&OBJ.3SG),,,,,
hoch1243,sit,sit(SBJ.3SG),,,,,
hoch1243,speak,speak(SBJ.3SG),,,,,
hoch1243,strike,strike(OBJ.3SG),strike(SBJ.3PL),,,,
hoch1243,take,take(SBJ.3SG&OBJ.3SG),take(SBJ.3SG),,,,
