lang,gl,var1,var2
trin1278,-IRR,IRR-,
trin1278,1PL-,-1PL,
trin1278,3-,3NH-,
trin1278,alcohol,alcohol(Sp),
trin1278,be_like,it_seems,
trin1278,because,because_of,
trin1278,CAUS-,-CAUS,
trin1278,Dad,my_father,Sir
trin1278,moon,month,
trin1278,o'clock,o'clock(Sp),
trin1278,other,other-,
trin1278,rest,heal,
trin1278,send,order,
trin1278,that(Sp),eso(Cast),
trin1278,watch,see,
trin1278,year,year(Sp),
