lang,gl,var1,var2,var3,var4,var5
beja1238,jump,jump\N.AC,,,,
beja1238,Kasala,Kassala,,,,
beja1238,kill,kill\PFV,kill\PFV.[M],,,
beja1238,kill\IPFV,kill\IPFV.[3SG.M],kill\IPFV.[2SG.M],,,
beja1238,lack\MID.PFV,lack\REFL.PFV,,,,
beja1238,land,ground,,,,
beja1238,leave,leave\PFV,leave\AOR,,,
beja1238,let,let\AOR,let\IPFV,let\PFV,,
beja1238,limit,quantity,,,,
beja1238,listen\PFV,listen,,,,
beja1238,look,look\PFV,look\AOR,,,
beja1238,look\IPFV,look\IPFV.[2SG.M],look\IPFV.[3SG.M],,,
beja1238,make,make\AOR,,,,
beja1238,manner,way,,,,
beja1238,marriage,wedding,,,,
beja1238,marry,marry\PFV,,,,
beja1238,milk_bowl,milk_container,,,,
beja1238,miss,miss\PFV,miss\PFV.[1SG],,,
beja1238,mix,mix\PFV,,,,
beja1238,mount\MID,ride\MID,ride\MID.NEG.OPT,,,
beja1238,move_away,move_away\PFV,,,,
beja1238,move_away\IPFV.[3SG],move_away\IPFV.[3SG.M],,,,
beja1238,N.AC-,N.AC.SING-,N.LOC-,,,
beja1238,news,ask_for_news,,,,
beja1238,pierce\ADJ,pierce\N.AC,pierce\N.LOC,,,
beja1238,place,place\PL,,,,
beja1238,play,play\N.AC,,,,
beja1238,pour\MID,pour\MID.IPFV,,,,
beja1238,pour\PFV,pour,,,,
beja1238,prepare\AOR,prepare.AOR,,,,
beja1238,prowl,prawl,,,,
beja1238,PROX.SG.M.NOM,PROX.SG.NOM,PROX.SG.M,,,
beja1238,pull\PFV,pull,,,,
beja1238,refuse\PFV,refuse,,,,
beja1238,resemble,resemble\PFV,,,,
beja1238,say,say\PFV,say\AOR,say\NEG.OPT,say\NEG..OPT,say\OPT.NEG
beja1238,seek,seek\PFV,seek\PFV.[3],want,,
beja1238,servant\PL,slave\PL,,,,
beja1238,sew,sew\IPFV,sew\PFV,,,
