lang,gl,var1,var2
jeju1234,-CVB.CND,-CVB.COND,
jeju1234,-EPN,-EP,
jeju1234,-EV.POL,-EV.DECL,
jeju1234,-VOL,-INTENT,
jeju1234,any,anyone,
jeju1234,be_similar,seem,
jeju1234,break,split,spread apart
jeju1234,close,cover,
jeju1234,condiment,condiments,
jeju1234,hit,get_hit,
jeju1234,old_man,grandfather,my_husband
jeju1234,piece_of_song,piece_of_speech,
jeju1234,POT,possibility,
jeju1234,say,exchange,
jeju1234,time,moment,WHEN
jeju1234,tree,wood,
