lang,gl,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17
goro1270,finish\2,finish\2.?,finish\2Sg,finish\2Sg.?,finish\2Sg.?Pst,finish\2Sg.Pst,,,,,,,,,,,,
goro1270,firewood,firewood\LF,,,,,,,,,,,,,,,,
goro1270,flee,flee\M.Pst,,,,,,,,,,,,,,,,
goro1270,food\LF,?food\LF,?eating,?eating\LF,eating,,,,,,,,,,,,,
goro1270,from,Prep.Abl,,,,,,,,,,,,,,,,
goro1270,gable,gable\LF,,,,,,,,,,,,,,,,
goro1270,get,get\1Sg.Pst,get\1Sg.Subj,get\M.Pst,,,,,,,,,,,,,,
goro1270,give,give\M.Pst,,,,,,,,,,,,,,,,
goro1270,give.birth,born\1Sg,,,,,,,,,,,,,,,,
goro1270,go,go.1Sg.?,go\1Sg.?,go\1Sg.Pres,go\1Sg.Pst,go\1Sg.Subj,go\M.?,go\M.Pst,go\M.Subj,go\SImprs.Pst,,,,,,,,
goro1270,go.down,go.down\M.Pst,,,,,,,,,,,,,,,,
goro1270,go.home,go.home\F.Pst,go.home\M.Pst,return.(intrans.),,,,,,,,,,,,,,
goro1270,go\Imp,let's.go,,,,,,,,,,,,,,,,
goro1270,good,good\F,well,,,,,,,,,,,,,,,
goro1270,grey\F,grey,,,,,,,,,,,,,,,,
goro1270,hand,hand\?,,,,,,,,,,,,,,,,
goro1270,have,have\1Sg,have\1Sg.Pres,have\M.Pres,have\M.Pst,have\Subj.1Sg,have\M,have\M.?,have\M.Subj,,,,,,,,,
goro1270,have\2,have\2Sg,,,,,,,,,,,,,,,,
goro1270,have\F,have\F.Pres,have\F.?,,,,,,,,,,,,,,,
goro1270,honey,honey\LF,,,,,,,,,,,,,,,,
goro1270,house,house\LF,?house,,,,,,,,,,,,,,,
goro1270,hurt\M.Pres,hurt\MPres,,,,,,,,,,,,,,,,
goro1270,it.means,means,I.mean,,,,,,,,,,,,,,,
goro1270,join\1Sg,put.together\1Sg,,,,,,,,,,,,,,,,
goro1270,kill,kill\1Sg.Pst,kill\M.Pres,kill\M.Pst,,,,,,,,,,,,,,
goro1270,know,know\1Sg,know\2Sg,know\F,,,,,,,,,,,,,,
goro1270,land,land\LF,,,,,,,,,,,,,,,,
goro1270,lay,lay\1Sg.Pst,lay\2Sg.Pst,lay\2Sg,lay\2Sg.Subj,,,,,,,,,,,,,
goro1270,lie.down,lie\1Sg.Pres,,,,,,,,,,,,,,,,
