lang,gl,var1,var2,var3,var4,var5
dolg1241,pole,pole.[NOM],pole.tent.[NOM],,,
dolg1241,proximity,proximity.[NOM],,,,
dolg1241,pull.down,weigh,,,,
dolg1241,reindeer,reindeer.[NOM],,,,
dolg1241,rich,rich.[NOM],,,,
dolg1241,river,river.[NOM],,,,
dolg1241,Russian,Russian.[NOM],,,,
dolg1241,Saveliy,Saveliy.[NOM],,,,
dolg1241,scraper,scraper.[NOM],,,,
dolg1241,selsoviet,selsoviet.[NOM],,,,
dolg1241,shaman,shaman.[NOM],,,,
dolg1241,shepherd,shepherd.[NOM],,,,
dolg1241,sin,sin.[NOM],,,,
dolg1241,sit,sit.down,sit.down.[IMP.2SG],seat,,
dolg1241,skin,skin.[NOM],leather.[NOM],fur,fur.[NOM],
dolg1241,sledge,sledge.[NOM],,,,
dolg1241,sleep,fall.asleep,,,,
dolg1241,small,small.[NOM],,,,
dolg1241,small.boat,small.boat.[NOM],,,,
dolg1241,smoke,smoke.[NOM],,,,
dolg1241,snow,snow.[NOM],,,,
dolg1241,sovkhoz,sovkhoz.[NOM],,,,
dolg1241,spring,spring.[NOM],in.spring,,,
dolg1241,stand.up,stand,,,,
dolg1241,Stepan,Stepan.[NOM],,,,
dolg1241,stone,stone.[NOM],,,,
dolg1241,storeroom,storeroom.[NOM],,,,
dolg1241,summer,summer.[NOM],in.summer,,,
dolg1241,sun,sun.[NOM],,,,
dolg1241,Supreme.Soviet,Supreme.Soviet.[NOM],,,,
dolg1241,tell,tell.[IMP.2SG],,,,
dolg1241,that,that.[NOM],,,,
dolg1241,there,thither,,,,
dolg1241,thin.layer.of.leather,thin.layer.of.leather.[NOM],,,,
dolg1241,thing,thing.[NOM],,,,
dolg1241,this,this.[NOM],,,,
dolg1241,totem,totem.[NOM],,,,
dolg1241,tree,tree.[NOM],wood,wood.[NOM],,
dolg1241,trip,trip.[NOM],,,,
dolg1241,tundra,tundra.[NOM],,,,
dolg1241,upper.part,upper.part.[NOM],,,,
dolg1241,various,various.[NOM],,,,
dolg1241,Volochanka,Volochanka.[NOM],,,,
dolg1241,walk,walk.[IMP.2SG],stride,,,
dolg1241,war,war.[NOM],,,,
dolg1241,water,water.[NOM],,,,
dolg1241,way,trace,,,,
dolg1241,wedding,wedding.[NOM],,,,
dolg1241,what,what.[NOM],,,,
dolg1241,who,who.[NOM],,,,
dolg1241,wind,wind.[NOM],,,,
dolg1241,winter,in.winter,winter.[NOM],,,
dolg1241,woman,woman.[NOM],,,,
dolg1241,word,voice,language,,,
dolg1241,work,work.[NOM],,,,
dolg1241,worker,worker.[NOM],,,,
dolg1241,year,year.[NOM],,,,
