lang,gl,var1,var2,var3,var4,var5,var6,var7,var8
taba1259,person,person(ABS),,,,,,,
taba1259,Pirim,Pirim(ABS),Pirim(ERG),,,,,,
taba1259,place,place(ABS),place(IN),,,,,,
taba1259,praise,praise(ABS),,,,,,,
taba1259,profession,profession(ABS),craft(ABS),,,,,,
taba1259,PROX,PROX(ABS),PROX(ATTR),PROX(ERG),,,,,
taba1259,PTCL,that_is,znachit,so,,,,,
taba1259,put,put(IMP),put(IN),put(NSG),,,,,
taba1259,Qaratsan,Qaratsan(IN),,,,,,,
taba1259,Rabadan,Rabadan(ABS),Rabadan(ERG),,,,,,
taba1259,reach,arrive,,,,,,,
taba1259,REFL,REFL.SG,,,,,,,
taba1259,REFL(ABS),REFL.SG(ABS),,,,,,,
taba1259,right,straight,direct,,,,,,
taba1259,rock,rock(ABS),,,,,,,
taba1259,rule,rule(ABS),,,,,,,
taba1259,save,save(IMP),,,,,,,
taba1259,say,say.FUT,,,,,,,
taba1259,scandal,scandal(ABS),,,,,,,
taba1259,Selim,Selim(ABS),Selim(ERG),,,,,,
taba1259,shame,shame(ABS),,,,,,,
taba1259,sheepskin,sheepskin(ABS),,,,,,,
taba1259,sit(HSG),sit(PL),seat(HSG),seat(PL),,,,,
taba1259,slow,slowly,quiet,,,,,,
taba1259,span,span(ABS),,,,,,,
taba1259,stand_up(HSG),(HSG)get_up(IMP),,,,,,,
taba1259,start,start(HSG),start(PL),,,,,,
taba1259,stay,remain,,,,,,,
taba1259,strong,huge,,,,,,,
taba1259,study,learn,,,,,,,
taba1259,SUB-,-SUB,,,,,,,
taba1259,Tabasaran,Tabasaran(IN),,,,,,,
taba1259,take,take_off,take_outside,,,,,,
taba1259,think(ABS),thought,thought(ABS),,,,,,
taba1259,time,time(ABS),time(ERG),,,,,,
taba1259,trouble,trouble(ABS),,,,,,,
taba1259,turn,turn(ABS),,,,,,,
taba1259,turn_back,return,,,,,,,
taba1259,uncle,uncle(ABS),uncle(ERG),,,,,,
taba1259,village,village(IN),,,,,,,
taba1259,VOC,voc,,,,,,,
taba1259,voila,here_you_go,,,,,,,
taba1259,walk,(HSG)walk,,,,,,,
taba1259,want,need,,,,,,,
taba1259,we(EXCL),we(EXCL)(ABS),,,,,,,
taba1259,we(INCL),we(INCL)(ABS),,,,,,,
taba1259,what,what(ABS),what+COP,,,,,,
taba1259,what_do,what_do+AOR,,,,,,,
taba1259,where,from_where,,,,,,,
taba1259,who,who(ABS),who(ERG),,,,,,
taba1259,wife,wife(ABS),wife(ERG),woman(ABS),,,,,
taba1259,word,word(ABS),,,,,,,
taba1259,work,work(ABS),(HSG)work,,,,,,
taba1259,you,you(ABS),you(ERG),you(SG),you.SG(ABS),you.SG(ERG),you.SG,,
taba1259,young,young(ABS),youth,,,,,,
taba1259,your,your(SG),your.SG,your(PL),,,,,
taba1259,сowboy,cowboy(ERG),,,,,,,
