lang,gl,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13
nort2641,IND.get_up.PRS,IND.get.up.PRS,IND.gets_up.PRS,,,,,,,,,,,
nort2641,IND.let_go.PRS,SUBJ.let_go.PRS,,,,,,,,,,,,
nort2641,IND.look.PRS,IND.see.PRS,,,,,,,,,,,,
nort2641,IND.open.PRS,open,,,,,,,,,,,,
nort2641,IND.put.PRS,IND.lay_down.PRS,IND.place.PRS,,,,,,,,,,,
nort2641,IND.say.PRS.3SG,IND.say.PRS,,,,,,,,,,,,
nort2641,IND.take.out.PRS,IND.take_off.PRS,IND.take_out.PRS,,,,,,,,,,,
nort2641,IND.throw.PRS,IND.throw.PRS.3SG,IND.throw.PST,IND.toss.PRS.3SG,throws,,,,,,,,,
nort2641,key,lock,locking,,,,,,,,,,,
nort2641,know.PRS,IND.know.PRS,,,,,,,,,,,,
nort2641,leave.PRS,leave,abandon.PRS,,,,,,,,,,,
nort2641,look,looking,seeing,,,,,,,,,,,
nort2641,losing,lost,riddance,,,,,,,,,,,
nort2641,man,husband,men,,,,,,,,,,,
nort2641,management,managing,,,,,,,,,,,,
nort2641,manger,stall,,,,,,,,,,,,
nort2641,market,bazar,,,,,,,,,,,,
nort2641,market.place,market_square,square,,,,,,,,,,,
nort2641,marriage_ceremony,marriage_contract,marriage,,,,,,,,,,,
nort2641,married,marry.PST,marry.PRS,,,,,,,,,,,
nort2641,may,MOD.PRT,perhaps,that.it.may,may_it,maybe,,,,,,,,
nort2641,merchant,Bazirganbaşî,bazirganbaşî,leader.of.caravan,,,,,,,,,,
nort2641,mercy,mercy_of_God,,,,,,,,,,,,
nort2641,midday,noon,,,,,,,,,,,,
nort2641,misfortune,misfortune.EZ,trouble.EZ,,,,,,,,,,,
nort2641,money,money.EZ,,,,,,,,,,,,
nort2641,mother,mother.OBL,mother.VOC,mothers,,,,,,,,,,
nort2641,mountain,mountain.OBL,mountainous,,,,,,,,,,,
nort2641,much,many,very,,,,,,,,,,,
nort2641,necessary,obligation,,,,,,,,,,,,
nort2641,NEG,no,not,not.IMP,nor,neither,NEG-,NEG.IMP-,NEG.IND-,NEG.SBJ-,NEG.SUBJ-,SUBJ.NEG-,not.IND-,-NEG
nort2641,NEG.exist,NEG.exist.3SG,NEG.exist.PRS,NEG.exist.PRS.3SG,exist.NEG,not_exist,not_exist.3SG,not_exist.PRS.3SG,not_existent,NEG.COP,,,,
nort2641,new,newly,,,,,,,,,,,,
nort2641,nice,pleasant,pleasured,agreeable,,,,,,,,,,
nort2641,oath,promise,,,,,,,,,,,,
nort2641,oh,he,hey,ah,,,,,,,,,,
nort2641,old,old_lady,old_woman,old_lady.OBL.F,,,,,,,,,,
nort2641,on.foot,on_foot,,,,,,,,,,,,
nort2641,one,someone,,,,,,,,,,,,
nort2641,outside,out,,,,,,,,,,,,
nort2641,owner,owners,,,,,,,,,,,,
nort2641,piece,pieces,fragments,,,,,,,,,,,
nort2641,place,to.place,,,,,,,,,,,,
nort2641,prayer,calling_for_prayers,,,,,,,,,,,,
nort2641,pregnant,pregnancy,,,,,,,,,,,,
nort2641,prepared,ready,available,,,,,,,,,,,
nort2641,PROG-,PROGR-,,,,,,,,,,,,
nort2641,PROG.make.PST,PROG.make.PST.3SG,,,,,,,,,,,,
nort2641,put,put.PRS,put.PRS.3SG,,,,,,,,,,,
nort2641,raised,lifting,,,,,,,,,,,,
nort2641,REFL,self,,,,,,,,,,,,
nort2641,remain.PST,remain.PST.3SG,stay.PST,stay.PST.3SG,leave.PST,,,,,,,,,
nort2641,right,rightly,correct,,,,,,,,,,,
nort2641,say.PRS,say.PRS.3SG,SUBJ.say.PRS,SBJ.say.PRS,say,say.PRS.2SG,,,,,,,,
nort2641,say.PST,say.PST.3SG,,,,,,,,,,,,
nort2641,search,search.PRS,look.for.PRS,look_for.PRS,,,,,,,,,,
nort2641,seven,week,,,,,,,,,,,,
nort2641,sin,misdeed,,,,,,,,,,,,
nort2641,sleeping_mat,sleeping.mat,,,,,,,,,,,,
nort2641,son,sons,,,,,,,,,,,,
nort2641,star,stars,,,,,,,,,,,,
nort2641,stay.PRS,stop,stop.PRS,pause.PRS,wait.PRS,stand.PRS,,,,,,,,
nort2641,story,story.INDF,,,,,,,,,,,,
nort2641,SUBJ-,SBJ-,,,,,,,,,,,,
nort2641,SUBJ.bring.PRS,SBJ.bring.PRS,,,,,,,,,,,,
nort2641,SUBJ.go.PRS,SBJ.go.PRS,go,,,,,,,,,,,
nort2641,take_out.PST,take_out.PST.3SG,pull.PST,pull_out.PST,pull_out.PST.3SG,,,,,,,,,
nort2641,take.PST,take.PST.3SG,took.PST,,,,,,,,,,,
nort2641,that_much,so.much,,,,,,,,,,,,
