lang,gl,var1,var2
nort2875,-PRF-,PRF-,
nort2875,=including,including,
nort2875,=still,still,
nort2875,Alta people,person,Alta language
nort2875,"and, also",and also,
nort2875,AV-,-AV-,
nort2875,god,"god, lord",
nort2875,kind of sweet potato,kind of sweet potatoo,
nort2875,month,moon,
nort2875,POT.AV-,POT-.AV-,
nort2875,PROX.DEM.ABS,=PROX.DEM.ABS,
nort2875,sprout,tuber,
nort2875,tasty,pleasant,
nort2875,tree,wood,
nort2875,year,age,
